,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
66,7958.08,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
67,7974.25,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
68,7998.5,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
69,7991.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
70,8022.7,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
71,8042.97,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
72,7965.67,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
73,8088.95,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
74,8122.19,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
75,8107.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
76,8137.73,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
77,8115.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
78,8107.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
79,8094.4,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
80,8080.01,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
81,8117.09,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
82,8126.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
83,8110.95,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
84,8215.39,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
85,8231.42,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
86,8240.13,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
87,8235.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
88,8219.9,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
89,8248.87,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
90,8213.5,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
91,8200.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
92,8200.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
93,8237.3,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
94,8228.13,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
95,8240.83,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
96,8214.9,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
97,8170.07,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
98,8229.87,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
99,8205.87,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
100,8252.56,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
101,8365.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
102,8348.65,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
103,8303.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
104,8310.48,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
105,8310.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
106,8289.87,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
107,8304.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
108,8301.35,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
109,8313.12,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
110,8240.07,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
111,8199.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
112,8226.98,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
113,8231.2,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
114,8198.89,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
115,8215.85,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
116,8279.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
117,8255.08,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
118,8270.4,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
119,8244.24,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
120,8239.12,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
121,8267.14,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
122,8282.27,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
123,8350.62,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
124,8336.6,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
125,8336.91,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
126,8311.21,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
127,8312.09,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
128,8345.19,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
129,8377.2,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
130,8481.11,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
131,8516.36,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
132,8524.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
133,8517.04,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
134,8558.5,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
135,8521.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
136,8484.93,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
137,8518.48,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
138,8488.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
139,8466.72,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
140,8492.55,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
141,8494.28,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
142,8510.95,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
143,8498.64,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
144,8551.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
145,8524.22,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
146,8510.11,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
147,8475.62,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
148,8476.58,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
149,8467.13,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
150,8499.84,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
151,8490.42,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
152,8407.09,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
153,8409.42,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
154,8400.96,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
155,8383.14,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
156,8350.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
157,8373.01,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
158,8412.8,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
159,8385.57,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
160,8408.53,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
161,8391.76,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
162,8367.36,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
163,8280.24,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
164,8297.91,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
165,8333.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
166,8285.29,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
167,8280.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
168,8317.02,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
169,8320.16,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
170,8295.9,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
171,8245.47,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
172,8264.98,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
173,8200.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
174,8170.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
175,8217.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
176,8231.63,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
177,8232.8,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
178,8225.38,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
179,8200.01,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
180,8219.98,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
181,8187.98,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
182,8100.32,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
183,8076.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
184,7964.73,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
185,7984.08,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
186,7949.35,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
187,7900.61,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
188,7895.5,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
189,7960.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
190,7900.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
191,7921.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
192,7943.07,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
193,7856.37,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
194,7848.3,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
195,7852.68,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
196,7847.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
197,7849.31,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
198,7911.83,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
199,7901.01,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
200,7887.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
201,7710.02,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
202,7625.38,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
203,7516.28,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
204,7495.31,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
205,7590.34,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
206,7596.24,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
207,7640.23,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
208,7562.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
209,7502.89,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
210,7584.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
211,7601.65,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
